#Code,description
#Extracted from http://www.publictendering.com/xls/CPV2008es.xls on 20151010. Converted using in2csv.
33141625-7,Kits para diagnóstico
33141626-4,Kits para dosificación
33141630-5,Filtros de plasma sanguíneo
33141640-8,Drenes
33141641-5,Sondas
33141642-2,Accesorios para drenes
33141700-7,Material ortopédico
33141710-0,Muletas
33141720-3,Andadores
33141730-6,Collarines quirúrgicos
33141740-9,Calzado ortopédico
33141750-2,Prótesis articulares
33141760-5,Férulas
33141770-8,"Material para fracturas, clavos y placas"
33141800-8,Productos consumibles dentales
33141810-1,Materiales para obturación dental
33141820-4,Dientes
33141821-1,Dientes de porcelana
33141822-8,Dientes acrílicos
33141830-7,Base de cemento
33141840-0,Hemostático dental
33141850-3,Productos para la higiene dental
33141900-9,Lancetas para la extracción de muestras de sangre
33150000-6,"Aparatos de radioterapia, mecanoterapia, electroterapia y fisioterapia"
33151000-3,Aparatos y material para radioterapia
33151100-4,Aparatos de gammaterapia
33151200-5,Aparatos de radioterapia
33151300-6,Espectrógrafos
33151400-7,Material para radioterapia
33152000-0,Incubadoras
33153000-7,Litotritor
33154000-4,Aparatos de mecanoterapia
33155000-1,Equipos para fisioterapia
33156000-8,Material para pruebas objetivas psicológicas
33157000-5,Aparatos respiratorios y de oxigenoterapia
33157100-6,Máscaras de gas para uso médico
33157110-9,Máscara de oxígeno
33157200-7,Kits de oxígeno
33157300-8,Tiendas de oxígeno
33157400-9,Respiradores para uso médico
33157500-0,Cámaras hiperbáricas
33157700-2,Botella lavagases
33157800-3,Unidad de administración de oxígeno
33157810-6,Unidad de oxigenoterapia
33158000-2,"Terapia eléctrica, electromagnética y mecánica"
33158100-3,Unidad electromagnética
33158200-4,Aparatos para electroterapia
33158210-7,Estimulador
33158300-5,Aparatos de rayos ultravioletas para uso médico
33158400-6,Unidad de terapia mecánica
33158500-7,Aparatos de rayos infrarrojos para uso médico
33159000-9,Sistema de química clínica
33160000-9,Técnicas operatorias
33161000-6,Unidad de electrocirugía
33162000-3,Instrumentos y aparatos de quirófano
33162100-4,Aparatos para quirófano
33162200-5,Instrumentos de quirófano
33163000-0,Tienda para uso médico
33164000-7,Aparatos de celioscopia
33164100-8,Colposcopio
33165000-4,Aparatos de criocirugía y crioterapia
33166000-1,Aparatos de dermatología
33167000-8,Luces para quirófanos
33168000-5,Aparatos de endoscopia y endocirugía
33168100-6,Endoscopios
33169000-2,Instrumentos quirúrgicos
33169100-3,Láser quirúrgico
33169200-4,Cestas para uso quirúrgico
33169300-5,Carro para material quirúrgico
33169400-6,Contenedores quirúrgicos
33169500-7,Sistemas de localización y seguimiento quirúrgicos
33170000-2,Anestesia y reanimación
33171000-9,Instrumentos de anestesia y reanimación
33171100-0,Instrumentos para anestesia
33171110-3,Máscara para anestesia
33171200-1,Instrumentos de reanimación
33171210-4,Máscara para reanimación
33171300-2,Bolsas o kits para inyección epidural
33172000-6,Aparatos para anestesia y reanimación
33172100-7,Aparatos para anestesia
33172200-8,Aparatos para reanimación
33180000-5,Asistencia funcional
33181000-2,Dispositivos para hemodiálisis
33181100-3,Aparatos de hemodiálisis
33181200-4,Filtros para diálisis
33181300-5,Monitor individual para hemodiálisis
33181400-6,Unidad de diálisis
33181500-7,Productos consumibles para uso renal
33181510-0,Fluido renal
33181520-3,Productos consumibles para diálisis renal
33182000-9,Aparatos de ayuda cardíaca
33182100-0,Desfibrilador
33182200-1,Aparatos de estimulación cardíaca
33182210-4,Marcapasos
33182220-7,Válvulas cardíacas
33182230-0,Ventrículo
33182240-3,Partes y accesorios de marcapasos
33182241-0,Pilas para marcapasos
33182300-2,Aparatos de cirugía cardíaca
33182400-3,Radiología cardíaca
33183000-6,Aparatos de ayuda ortopédica
33183100-7,Implantes ortopédicos
33183200-8,Prótesis ortopédicas
33183300-9,Aparatos para osteosíntesis
33184000-3,Artículos y aparatos de prótesis
33184100-4,Implantes quirúrgicos
33184200-5,Prótesis vasculares
33184300-6,Prótesis cardíacas
33184400-7,Prótesis mamarias
33184410-0,Prótesis mamarias internas
33184420-3,Prótesis mamarias externas
33184500-8,Endoprótesis coronarias
33184600-9,Ojos artificiales
33185000-0,Audífonos
33185100-1,Partes y accesorios de audífonos
33185200-2,Implante coclear
33185300-3,Implante otorrinolaringológico
33185400-4,Laringe artificial
33186000-7,Unidad de circulación extracorpórea
33186100-8,Oxigenador
33186200-9,Calentadores de sangre y fluidos
33190000-8,Instrumentos y aparatos médicos diversos
33191000-5,"Aparatos para esterilización, desinfección e higiene"
33191100-6,Esterilizador
33191110-9,Autoclaves
33192000-2,Mobiliario para uso médico
33192100-3,Camas para uso médico
33192110-6,Camas ortopédicas
33192120-9,Camas de hospital
33192130-2,Camas provistas de motor
33192140-5,Divanes para sesiones psiquiátricas
33192150-8,Camas terapéuticas
33192160-1,Camillas
33192200-4,Mesas para uso médico
33192210-7,Mesas de reconocimiento médico
33192230-3,Mesas de operaciones
33192300-5,"Mobiliario para uso médico, excepto camas y mesas"
33192310-8,Dispositivos de tracción o suspensión para camas de uso médico
33192320-1,Soportes para recipientes de recogida de orina
33192330-4,Lugares donde se realizan las transfusiones
33192340-7,"Mobiliario de quirófano, excepto mesas"
33192350-0,Locales destinados a cultivos con fines médicos
33192400-6,Unidades odontológicas
33192410-9,Sillones de dentista
33192500-7,Tubos de ensayo
33192600-8,Equipos elevadores para los servicios de atención sanitaria
33193000-9,Sillas de ruedas y demás vehículos para inválidos y material asociado
33193100-0,Sillas de ruedas y demás vehículos para inválidos
33193110-3,Vehículos para inválidos
33193120-6,Sillas de ruedas
33193121-3,Sillas de ruedas con motor
33193200-1,Partes y accesorios de sillas de ruedas y demás vehículos para inválidos
33193210-4,Partes y accesorios de vehículos para inválidos
33193211-1,Motores de vehículos para inválidos
33193212-8,Dispositivos de dirección de vehículos para inválidos
33193213-5,Dispositivos de mando de vehículos para inválidos
33193214-2,Chasis de vehículos para inválidos
33193220-7,Partes y accesorios de sillas de ruedas
33193221-4,Almohadillas para sillas de ruedas
33193222-1,Armazones para sillas de ruedas
33193223-8,Asientos para sillas de ruedas
33193224-5,Instrumentos y aparatos de transfusión e infusión
33193225-2,Instrumentos y aparatos para infusión
33194000-6,Instrumentos y aparatos de transfusión y perfusión
33194100-7,Instrumentos y aparatos para perfusión
33194110-0,Bombas de infusión
33194120-3,Artículos para perfusión
33194200-8,Instrumentos y aparatos para transfusión
33194210-1,Instrumentos y aparatos para transfusión sanguínea
33194220-4,Material para transfusión sanguínea
33195000-3,Sistema de monitorización de los pacientes
33195100-4,Monitores
33195110-7,Monitores de respiración
33195200-5,Puesto central de control
33196000-0,Ayudas médicas
33196100-1,Aparatos para las personas de avanzada edad
33196200-2,Aparatos para minusválidos
33197000-7,Equipo informático para uso médico
33198000-4,Artículos de papel para hospital
33198100-5,Compresas de papel
33198200-6,Bolsas o envoltorios de papel para esterilización
33199000-1,Vestuario médico
33600000-6,Productos farmacéuticos
33610000-9,Medicamentos para el aparato digestivo y el metabolismo
33611000-6,Medicamentos contra los trastornos producidos por la hiperacidez
33612000-3,Medicamentos contra los trastornos gastrointestinales funcionales
33613000-0,Laxantes
33614000-7,"Antidiarreicos, antiinflamatorios y antiinfecciosos intestinales"
33615000-4,Antidiabéticos
33615100-5,Insulina
33616000-1,Vitaminas
33616100-2,Provitaminas
33617000-8,Suplementos minerales
33620000-2,"Medicamentos para la sangre, para los órganos hematopoyéticos y para el aparato cardiovascular"
33621000-9,Medicamentos para la sangre y para los órganos hematopoyéticos
33621100-0,Antitrombóticos
33621200-1,Antihemorrágicos
33621300-2,Antianémicos
33621400-3,Sustitutos del plasma y soluciones para infusión
33622000-6,Medicamentos para el aparato cardiovascular
33622100-7,Medicamentos usados en cardioterapia
33622200-8,Hipotensores
33622300-9,Diuréticos
33622400-0,Vasoprotectores
33622500-1,Antihemorroidales de uso tópico
33622600-2,Betabloqueadores
33622700-3,Bloqueadores de los canales de calcio
33622800-4,Medicamentos que actúan sobre el sistema renina-angiotensina
33630000-5,Medicamentos usados en dermatología y para el sistema muscular-esquelético
33631000-2,Medicamentos usados en dermatología
33631100-3,Antifúngicos usados en dermatología
33631110-6,Ácidos salicílicos
33631200-4,Emolientes y protectores
33631300-5,Antipsoriásicos
33631400-6,Antibióticos y quimioterápicos para uso en dermatología
33631500-7,Corticosteroides usados en dermatología y en preparados dermatológicos
33631600-8,Antisépticos y desinfectantes
33631700-9,Preparados antiacné
33632000-9,Medicamentos para el sistema muscular-esquelético
33632100-0,Antiinflamatorios y antirreumáticos
33632200-1,Miorrelajantes
33632300-2,Antigotosos
33640000-8,Medicamentos para el sistema genitourinario y hormonas
33641000-5,Medicamentos para el sistema genitourinario y hormonas sexuales
33641100-6,Antiinfecciosos y antisépticos ginecológicos
33641200-7,Otros medicamentos ginecológicos
33641300-8,Hormonas sexuales y moduladores genitales
33641400-9,Anticonceptivos
33641410-2,Anticonceptivos orales
33641420-5,Anticonceptivos químicos
33642000-2,"Preparados hormonales sistémicos, excluidas las hormonas sexuales"
33642100-3,"Hormonas hiposifiarias, hipotalámicas y análogas"
33642200-4,Corticoesteroides para uso sistémico
33642300-5,Terapia tiroidea
33650000-1,"Antiinfecciosos generales para uso sistémico, vacunas, antineoplásicos e inmunomoduladores"
33651000-8,"Antiinfecciosos generales para uso sistémico, vacunas"
33651100-9,Antibacterianos para uso sistémico
33651200-0,Antimicóticos para uso sistémico
33651300-1,Antimicobacterianos
33651400-2,Antivirales para uso sistémico
33651500-3,Inmunosueros e inmunoglobulinas
33651510-6,Antisueros
33651520-9,Inmunoglobulinas
33651600-4,Vacunas
33651610-7,"Vacunas contra la difteria, el tétanos y la tos ferina"
33651620-0,Vacunas contra la difteria y el tétanos
33651630-3,Vacunas BCG (liofilizadas)
33651640-6,"Vacunas ""triple vírica"" (sarampión, paperas, rubeola)"
33651650-9,Vacunas contra el tifus
33651660-2,Vacunas contra la gripe
33651670-5,Vacunas contra la polio
33651680-8,Vacunas contra la hepatitis B
33651690-1,Vacunas para la medicina veterinaria
33652000-5,Agentes antineoplásicos e inmunomoduladores
33652100-6,Agentes antineoplásicos
33652200-7,Medicamentos usados en la terapia endocrina
33652300-8,Inmunosupresores
33660000-4,Medicamentos para el sistema nervioso y los órganos de los sentidos
33661000-1,Medicamentos para el sistema nervioso
33661100-2,Anestésicos
33661200-3,Analgésicos
33661300-4,Antiepilépticos
33661400-5,Antiparkinsonianos
33661500-6,Psicolépticos
33661600-7,Psicoanalépticos
33661700-8,Otros medicamentos del sistema nervioso
33662000-8,Medicamentos para los órganos de los sentidos
33662100-9,Medicamentos usados en oftalmología
33670000-7,Medicamentos para el aparato respiratorio
33673000-8,Medicamentos para enfermedades obstructivas de las vías respiratorias
33674000-5,Medicamentos para la tos y el resfriado
33675000-2,Antihistamínicos para empleo sistémico
33680000-0,Artículos farmacéuticos
33681000-7,"Tetinas, chupetes y artículos similares para bebés"
33682000-4,Baldosas de caucho
33683000-1,Amortiguadores de caucho
33690000-3,Medicamentos diversos
33691000-0,"Productos antiparasitarios, insecticidas y repelentes"
33691100-1,Antiprotozoarios
33691200-2,Antihelmínticos
33691300-3,"Ectoparasiticidas, incluidos los escabicidas, insecticidas y repelentes"
33692000-7,Soluciones medicinales
33692100-8,Soluciones para infusiones
33692200-9,Productos de nutrición parenteral
33692210-2,Soluciones de nutrición parenteral
33692300-0,Productos de nutrición enteral
33692400-1,Soluciones para perfusiones
33692500-2,Soluciones inyectables
33692510-5,Fluidos intravenosos
33692600-3,Soluciones galénicas
33692700-4,Soluciones de glucosa
33692800-5,Soluciones para diálisis
33693000-4,Todos los demás productos terapéuticos
33693100-5,Toxinas
33693200-6,Sustitutos de la nicotina
33693300-7,Tratamientos contra la adicción
33694000-1,Medios de diagnóstico
33695000-8,Todo los demás productos no terapéuticos
33696000-5,Reactivos y medios de contraste
33696100-6,Reactivos para determinación del grupo sanguíneo
33696200-7,Reactivos para análisis de sangre
33696300-8,Reactivos químicos
33696400-9,Reactivos isotópicos
33696500-0,Reactivos de laboratorio
33696600-1,Reactivos para electroforesis
33696700-2,Reactivos urológicos
33696800-3,Medios de contraste para radiología
33697000-2,"Preparaciones médicas, excepto productos consumibles para uso odontológico"
33697100-3,Preparaciones para enemas
33697110-6,Cementos para la reconstrucción de huesos
33698000-9,Productos clínicos
33698100-0,Cultivos microbiológicos
33698200-1,Glándulas y sus extractos
33698300-2,Sustancias pépticas
33700000-7,Productos para la higiene personal
33710000-0,"Perfumes, artículos de tocador y preservativos"
33711000-7,Perfumes y productos de tocador
33711100-8,Aguas de Colonia
33711110-1,Desodorantes
33711120-4,Antitranspirantes
33711130-7,Colonias
33711140-0,Fragancias
33711150-3,Agua de rosas
33711200-9,Preparaciones para maquillaje
33711300-0,Productos para manicura o pedicura
33711400-1,Productos de belleza
33711410-4,Bastoncillos de algodón
33711420-7,Estuches de maquillaje
33711430-0,Toallitas higiénicas desechables
33711440-3,Bálsamo labial
33711450-6,Tatuajes
33711500-2,Productos para el cuidado de la piel
33711510-5,Productos de protección solar
33711520-8,Geles de baño
33711530-1,Gorros de ducha
33711540-4,Cremas o lociones de parafarmacia
33711600-3,Preparaciones y artículos para el cabello
33711610-6,Champús
33711620-9,Peines
33711630-2,Pelucas
33711640-5,Estuchitos de tocador
33711700-4,Artículos y preparados para la higiene bucal o dental
33711710-7,Cepillos de dientes
33711720-0,Pasta de dientes
33711730-3,Mondadientes
33711740-6,Baños bucales
33711750-9,Enjuagues y otros productos refrescantes bucales
33711760-2,Hilo dental
33711770-5,"Mordedores, anillos de dentición y chupetes para bebés"
33711780-8,Tabletas para limpieza de dentaduras postizas
33711790-1,Estuche de higiene dental
33711800-5,Preparados para el afeitado
33711810-8,Cremas de afeitar
33711900-6,Jabón
33712000-4,Preservativos
33713000-1,Productos para el cuidado de los pies
33720000-3,Cuchillas y estuches de manicura o pedicura
33721000-0,Navajas
33721100-1,Hojas de afeitar
33721200-2,Máquinas de afeitar
33722000-7,Juegos para manicura o pedicura
33722100-8,Estuches de manicura
33722110-1,Instrumental de manicura
33722200-9,Estuches de pedicura
33722210-2,Instrumental de pedicura
33722300-0,Coleteros
33730000-6,Productos para el cuidado de los ojos y lentes correctoras
33731000-3,Lentes de contacto
33731100-4,Lentes correctoras
33731110-7,Lentes intraoculares
33731120-0,Lentes para gafas
33732000-0,Soluciones para lentes de contacto
33733000-7,Gafas de sol
33734000-4,Gafas
33734100-5,Monturas de gafas
33734200-6,Cristal para lentes de gafas
33735000-1,Anteojos de protección
33735100-2,Gafas protectoras
33735200-3,Monturas de gafas protectoras
33740000-9,Productos para el cuidado de manos y uñas
33741000-6,Productos para el cuidado de las manos
33741100-7,Jabón de manos
33741200-8,Lociones de manos o corporal
33741300-9,Antiséptico para manos
33742000-3,Productos para el cuidado de las uñas
33742100-4,Cortaúñas
33742200-5,Esmalte de uñas
33750000-2,Productos para el cuidado del bebé
33751000-9,Pañales desechables
33752000-6,Protectores de lactancia
33760000-5,"Papel higiénico, pañuelos, toallas y servilletas"
33761000-2,Papel higiénico
33762000-9,Pañuelos de papel
33763000-6,Toallas de papel
33764000-3,Servilletas de papel
33770000-8,Artículos de papel para uso sanitario e higiénico
33771000-5,Productos de papel para uso sanitario
33771100-6,Compresas higiénicas o tampones
33771200-7,Forros de pañales de papel
33772000-2,Productos desechables de papel
33790000-4,"Artículos de vidrio para laboratorio, higiene o farmacia"
33791000-1,Artículos de vidrio para la higiene
33792000-8,Artículos de vidrio para uso farmacéutico
33793000-5,Artículos de vidrio para laboratorio
33900000-9,Equipo y material para institutos anatómico-forenses y depósitos de cadáveres
33910000-2,Instrumental y material para disección anatomopatológica
33911000-9,Tijeras de autopsia
33912000-6,Instrumental de disección para autopsia
33912100-7,Pinzas de disección para autopsia
33913000-3,Sondas para extracción de proyectiles en autopsia
33914000-0,"Hilo, agujas y pinzas de sutura para cadáveres"
33914100-1,Hilo de sutura para cadáveres
33914200-2,Agujas de sutura para cadáveres
33914300-3,Pinzas de sutura para cadáveres
33915000-7,Sondas acanaladas para autopsia
33916000-4,Hojas o accesorios para sierras de autopsia
33916100-5,Sierras de autopsia
33917000-1,"Mesas o ""pads"" de disección"
33918000-8,Maletines para accesorios o instrumental de cirugía en cadáveres
33919000-5,Estuches enrollables para accesorios o instrumental de cirugía en cadáveres
33920000-5,Equipo y suministros para autopsia
33921000-2,Aspiradores de polvo óseo
33922000-9,Bolsas para transporte de cadáveres
33923000-6,"Reposacabezas, tableros para cadáveres y balanzas colgantes para autopsia"
33923100-7,Reposacabezas para autopsia
33923200-8,Tableros de apoyo del cadáver para autopsia
33923300-9,Balanzas colgantes para autopsia
33924000-3,Equipo de prevención de enfermedades infecciosas en cadáveres
33925000-0,Pulseras o etiquetas de identificación de cadáveres
33926000-7,Tubos o aspiradores al vacío para la recogida de líquidos de autopsia
33927000-4,Termómetros rectales para cadáveres
33928000-1,Enderezadores de dedo para cadáveres
33929000-8,Maletines de regeneración del tejido dactilar en cadáveres
33930000-8,Mobiliario para autopsia
33931000-5,Mesas o accesorios para autopsia macroscópica
33932000-2,Pilas o accesorios para autopsia
33933000-9,Mesas o accesorios para autopsia
33933100-0,Mesas de autopsia
33934000-6,Mesas o accesorios para necropsia
33935000-3,Mesas o accesorios para la disección de cadáveres de animales
33936000-0,Mesas o accesorios para embalsamamiento
33937000-7,"Mesas para autopsia con evacuación descendente, o accesorios"
33940000-1,Equipos y material para el transporte y depósito de cadáveres
33941000-8,Estanterías para el depósito de cadáveres
33942000-5,Carros portacadáveres
33943000-2,Carros elevacadáveres de tijera
33944000-9,Arcones frigoríficos o congeladores para depósitos de cadáveres
33945000-6,Cámaras frigoríficas para depósitos de cadáveres
33946000-3,Carros de autopsia
33947000-0,Bandejas portacadáveres
33948000-7,Dispositivos para la elevación o traslado de cadáveres
33949000-4,Contenedores para transporte de cuerpos
33950000-4,Equipo y material para medicina legal
33951000-1,Material de necroidentificación
33952000-8,Mascarillas antiputrefacción
33953000-5,Material de detección de sangre en cadáveres
33954000-2,Maletín de toma de muestras biológicas
33960000-7,Equipo y material de embalsamamiento
33961000-4,Inyectores intracavitarios para embalsamamiento
33962000-1,Tubos de drenaje venoso para embalsamamiento
33963000-8,Líquidos y productos químicos para embalsamamiento
33964000-5,Tubos inyectores para embalsamamiento
33965000-2,Pilas de embalsamamiento y sus accesorios
33966000-9,Maletines de embalsamamiento
33967000-6,Agujas de inyector para embalsamamiento
33968000-3,Cápsulas oculares para embalsamamiento
33970000-0,Equipo y material para cadáveres
33971000-7,Indumentaria para cadáveres
33972000-4,Bolsas para cadáveres
33973000-1,Mortajas
33974000-8,Aspiradores mortuorios
33975000-5,Compuestos endurecedores para cadáveres
34000000-7,Equipos de transporte y productos auxiliares
34100000-8,Vehículos de motor
34110000-1,Automóviles para pasajeros
34111000-8,"Automóviles ""familiares"" AC (break) y ""berlinas"" AA (turismos)"
34111100-9,Breaks
34111200-0,Automóviles de turismo
34113000-2,Vehículos con tracción a las cuatro ruedas
34113100-3,Jeeps
34113200-4,Vehículos todoterreno
34113300-5,Vehículos de doble tracción
34114000-9,Vehículos especiales
34114100-0,Vehículos de emergencia
34114110-3,Vehículos de salvamento
34114120-6,Vehículos paramédicos
34114121-3,Ambulancias
34114122-0,Vehículos para transporte de pacientes
34114200-1,Automóviles de policía
34114210-4,Vehículos celulares
34114300-2,Vehículos para servicios de asistencia social
34114400-3,Minibuses
34115000-6,Otros automóviles para pasajeros
34115200-8,Vehículos de motor para el transporte de menos de diez personas
34115300-9,Vehículos de transporte usados
34120000-4,Vehículos de motor para el transporte de diez o más personas
34121000-1,Autobuses y autocares
34121100-2,Autobuses de servicio público
34121200-3,Autobuses articulados
34121300-4,Autobuses de dos pisos
34121400-5,Autobuses de plataforma rebajada
34121500-6,Autocares
34130000-7,Vehículos de motor para el transporte de mercancías
34131000-4,"Furgonetas con caja abierta (""pick-ups"")"
34132000-1,Mototrineos
34133000-8,Camiones articulados
34133100-9,Camiones cisterna
34133110-2,Camiones cisterna para el transporte de combustible
34134000-5,Camiones con plataforma y camiones basculantes
34134100-6,Camiones con plataforma
34134200-7,Camiones basculantes
34136000-9,Camionetas
34136100-0,Camionetas ligeras
34136200-1,Camioneta con caja metálica
34137000-6,Vehículos usados para el transporte de mercancías
34138000-3,Tractores de carretera
34139000-0,Chasis
34139100-1,Chasis con cabina
34139200-2,Chasis con carrocería
34139300-3,Chasis completos
34140000-0,Vehículos pesados
34142000-4,Camiones grúa y camiones volquete
34142100-5,Camiones con plataforma elevadora
34142200-6,Cargadores de hormigonera
34142300-7,Camiones volquete
34143000-1,Vehículos de vialidad invernal
34144000-8,Vehículos de motor para usos especiales
34144100-9,Torres de perforación móviles
34144200-0,Vehículos para servicios de emergencia
34144210-3,Vehículos de extinción de incendios
34144211-0,Camiones con escalera giratoria
34144212-7,Vehículos autobomba
34144213-4,Vehículos de lucha contra incendios
34144220-6,Vehículos de reparación de averías
34144300-1,Puentes móviles
34144400-2,Vehículos para el mantenimiento de carreteras
34144410-5,Vehículos para el vaciado de sumideros
34144420-8,Esparcidores de sal
34144430-1,Barrederas viales automóviles
34144431-8,Barrederas-aspiradoras automóviles
34144440-4,Vehículos esparcidores de gravilla
34144450-7,Vehículos de riego
34144500-3,Vehículos para desperdicios y aguas residuales
34144510-6,Vehículos para desperdicios
34144511-3,Vehículos de recogida de basuras
34144512-0,Vehículos compactadores de basuras
34144520-9,Camiones cisterna para aguas residuales
34144700-5,Vehículos utilitarios
34144710-8,Cargadoras sobre ruedas
34144730-4,Vehículos de repostaje de aviones
34144740-7,Tractores de avión
34144750-0,Portacargas
34144751-7,Carretillas pórtico
34144760-3,Bibliobuses
34144800-6,Caravanas
34144900-7,Vehículos eléctricos
34144910-0,Autobuses eléctricos
34150000-3,Simuladores
34151000-0,Simuladores de conducción
34152000-7,Simuladores de entrenamiento
34200000-9,"Carrocerías para vehículos, remolques o semirremolques"
34210000-2,Carrocerías para vehículos
34211000-9,"Carrocerías para autobuses, ambulancias y vehículos de transporte de mercancías"
34211100-9,Carrocerías para autobuses
34211200-9,Carrocerías para ambulancias
34211300-9,Carrocerías para vehículos de transporte de mercancías
34220000-5,"Remolques, semirremolques y contenedores móviles"
34221000-2,Contenedores móviles para usos especiales
34221100-3,Unidades móviles para incidentes
34221200-4,Unidades móviles para emergencias
34221300-5,Unidad de intervención en caso de accidente químico
34223000-6,Remolques y semirremolques
34223100-7,Semirremolques
34223200-8,Camiones para repostar
34223300-9,Remolques
34223310-2,Remolques de uso general
34223320-5,Remolques para transporte de caballos
34223330-8,Unidades móviles sobre remolques
34223340-1,Remolques cisterna
34223350-4,Remolques con escalera giratoria
34223360-7,Remolques de repostaje
34223370-0,Remolques volquete
34223400-0,Remolques y semirremolques del tipo caravana
34224000-3,"Partes de remolques, semirremolques y otros vehículos"
34224100-4,Partes de remolques y semirremolques
34224200-5,Partes de otros vehículos
34300000-0,Partes y accesorios para vehículos y sus motores
34310000-3,Motores y piezas de motores (vehículos)
34311000-0,Motores (vehículos)
34311100-1,Motores de combustión interna para vehículos de motor y motocicletas
34311110-4,Motores de encendido por chispa
34311120-7,Motores de encendido por compresión
34312000-7,Partes de motores
34312100-8,Correas de ventilador
34312200-9,Bujías de encendido
34312300-0,Radiadores para vehículos
34312400-1,Pistones
34312500-2,Juntas de estanqueidad
34312600-3,Bandas transportadoras de caucho
34312700-4,Correas de transmisión de caucho
34320000-6,"Piezas de recambio mecánicas, excepto motores y partes de motores"
34321000-3,Ejes y cajas de cambio
34321100-4,Ejes
34321200-5,Cajas de cambio
34322000-0,Frenos y partes de frenos
34322100-1,Equipo de frenado
34322200-2,Frenos de disco
34322300-3,Guarniciones de freno
34322400-4,Cojinetes de freno
34322500-5,Zapatas de freno
34324000-4,"Ruedas, sus partes y accesorios"
34324100-5,Equipo de equilibrado de ruedas
34325000-1,Silenciadores y tubos de escape
34325100-2,Silenciadores
34325200-3,Tubos de escape
34326000-8,"Gatos para automóviles, embragues y sus partes"
34326100-9,Embragues y sus partes
34326200-0,Gatos para automóviles
34327000-5,"Volantes, columnas y cajas de dirección"
34327100-6,Volantes
34327200-7,Columnas y cajas de dirección
34328000-2,"Bancos de prueba, kits de conversión de vehículos y cinturones de seguridad"
34328100-3,Bancos de prueba
34328200-4,Kits para conversión de vehículos
34328300-5,Cinturones de seguridad
34330000-9,"Repuestos para vehículos de transporte de mercancías, camionetas y automóviles"
34350000-5,Neumáticos para vehículos ligeros y para vehículos pesados
34351000-2,Neumáticos para vehículos ligeros
34351100-3,Neumáticos para automóviles
34352000-9,Neumáticos para vehículos pesados
34352100-0,Neumáticos para camiones
34352200-1,Neumáticos para autobuses
34352300-2,Neumáticos para uso agrario
34360000-8,Asientos para aeronaves civiles
34370000-1,Asientos para vehículos de motor
34390000-7,Accesorios para tractor
34400000-1,"Motocicletas, bicicletas y sidecares"
34410000-4,Motocicletas
34411000-1,Partes y accesorios para motocicletas
34411100-2,Sidecares para motocicletas
34411110-5,Partes y accesorios de sidecares para motocicleta
34411200-3,Neumáticos para motocicletas
34420000-7,Motocicletas ligeras y bicicletas con motor auxiliar
34421000-7,Motocicletas ligeras
34422000-7,Bicicletas con motor auxiliar
34430000-0,Bicicletas
34431000-7,Bicicletas sin motor
34432000-4,Partes y accesorios para bicicletas
34432100-5,Neumáticos para bicicletas
34500000-2,Buques y barcos
34510000-5,Buques
34511100-3,Patrulleros para la marina
34512000-9,Buques y embarcaciones similares para el transporte de personas o mercancías
34512100-0,Transbordadores
34512200-1,Buques para cruceros
34512300-2,Graneleros
34512400-3,Buques de carga
34512500-4,Buques de mercancías
34512600-5,Buques portacontenedores
34512700-6,Buques para transporte Ro-Ro
34512800-7,Buques cisterna
34512900-8,Buques para transporte de automóviles
34512950-3,Buques frigoríficos
34513000-6,"Barcos pesqueros, barcos de emergencia y demás barcos especiales"
34513100-7,Barcos pesqueros
34513150-2,Buques factoría
34513200-8,Barcos remolcadores
34513250-3,Dragas
34513300-9,Diques flotantes para navegación marítima
34513350-4,Embarcaciones auxiliares de buceo
34513400-0,Pontones grúa
34513450-5,Barcos de producción
34513500-1,Barcos de reconocimiento sísmico
34513550-6,Barcos exploradores
34513600-2,Barcos de control de la contaminación
34513650-7,Naves del servicio antiincendio
34513700-3,Barcos de salvamento
34513750-8,Buques faro
34514000-3,Plataformas flotantes o sumergibles de perforación o explotación
34514100-4,Barcos de sondeo
34514200-5,Plataformas de perforación autoelevadoras
34514300-6,Plataformas elevadoras de perforación
34514400-7,Plataformas de perforación flotantes
34514500-8,Instalación de producción flotante
34514600-9,Plataformas de sondeo semisumergibles
34514700-0,Plataforma móvil
34514800-1,Plataforma flotante
34514900-2,Plataformas de perforación
34515000-0,Estructuras flotantes
34515100-1,Boyas baliza
34515200-2,Balsas inflables
34516000-7,Defensas marinas
34520000-8,Barcos
34521000-5,Barcos especializados
34521100-6,Barcos de vigilancia
34521200-7,Barcos patrulleros aduaneros
34521300-8,Barcos patrulleros policiales
34521400-9,Botes salvavidas
34522000-2,Barcos de recreo y deportivos
34522100-3,Barcos a vela
34522150-8,Catamaranes a vela
34522200-4,Botes de salvamento
34522250-9,Botes a vela
34522300-5,Embarcaciones pequeñas
34522350-0,Botes de fibra de vidrio
34522400-6,Botes semirrígidos
34522450-1,Embarcaciones neumáticas
34522500-7,Botes de caucho
34522550-2,Canoas
34522600-8,Barcos de remos
34522700-9,Embarcaciones de pedales
34600000-3,"Locomotoras de ferrocarril y de tranvía, material móvil y sus partes"
34610000-6,Locomotoras y ténderes
34611000-3,Locomotoras
34612000-0,Ténderes y funiculares
34612100-1,Ténderes
34612200-2,Funiculares
34620000-9,Material móvil
34621000-6,"Vehículos de mantenimiento o de servicio para ferrocarril, y vagones de carga"
